fid,proj,sum_area,flat_area,overlap_ratio,plot_area,sum_vol,sum_narrow_vol,sum_wide_vol,narrow_tree_ratio,narrowe_vol_ratio,proj2,_sum,_mean
1,AM1_MT_Grenfell_1,6036.74304714029,5513.25489147369,0.913283015099577,10428.5394989249,104344.954969473,9075.020633976,95269.9343354967,0.240740740740741,0.0869713407479164,AM1_MT_Grenfell_1,121088.674015999,2.90303934252353
2,AM1_MT_Grenfell_2,9040.80687893049,7707.30627362483,0.852502036249289,10927.7060126108,117436.250428117,14954.667221192,102481.583206925,0.166488794023479,0.127342853392154,AM1_MT_Grenfell_2,151648.824029684,3.47014539780975
3,AM1_MT_Grenfell_3,7564.89856324632,6630.79382814665,0.876521181706523,10349.737339804,74298.4953777797,11741.3886916961,62557.1066860836,0.134706814580032,0.158029965909748,AM1_MT_Grenfell_3,109418.903998375,2.64296869561292
4,AM1_MT_Grenfell_4,7764.42496267233,6659.76625194323,0.857728200602134,10296.5920893034,164852.317718167,44157.735484897,120694.58223327,0.331877729257642,0.26786238796102,AM1_MT_Grenfell_4,183735.939000487,4.46145105991519
5,AM1_MT_Grenfell_5,8297.70780952956,6742.88744213369,0.812620496758125,10405.6489676494,98902.8893053146,12655.2127330741,86247.6765722405,0.0981404958677686,0.127955945695452,AM1_MT_Grenfell_5,122001.799978971,2.93111500802372
6,AM1_MT_Grenfell_6,6936.94213386974,5901.30028738414,0.850706287222858,10227.1229856817,86368.0089480484,6053.65107765656,80314.3578703918,0.100732600732601,0.070091358494763,AM1_MT_Grenfell_6,117478.39401257,2.87191106469883
7,AM1_MT_Grenfell_7,7608.12969725096,6820.98560997045,0.896539081403288,10151.1839948652,187255.602417294,11122.670148414,176132.93226888,0.199367088607595,0.05939833043621,AM1_MT_Grenfell_7,188510.110918283,4.64402125833375
8,AM2_Mt_Grenfell_NP,5816.89599667429,5172.31892441017,0.889188826371893,9987.78473402249,110063.393101236,16298.4860499039,93764.9070513318,0.183098591549296,0.148082714794306,AM2_Mt_Grenfell_NP,129917.342975974,3.25199857261512
9,AM2_Mt_Grenfell_NP_2,7252.31027102038,5896.71884349347,0.8130814351747,10253.1502333168,77259.2696378006,6506.5214174127,70752.7482203879,0.115384615384615,0.0842167088546907,AM2_Mt_Grenfell_NP_2,110506.741975665,2.69489201520912
10,AM2_Mt_Grenfell_NP_3,3981.06796064134,3543.97891937113,0.890208093508708,10216.9922610285,26992.7961019447,3894.7712377547,23098.02486419,0.193324061196106,0.144289284557449,AM2_Mt_Grenfell_NP_3,47627.3190368414,1.16536541233799
11,AM2_Mt_Grenfell_NP_4,8649.66401832267,7084.06730432647,0.818999129829809,10493.7875744704,74362.2757976757,16271.9735118421,58090.3022858336,0.129770992366412,0.218820273280968,AM2_Mt_Grenfell_NP_4,90103.3109712601,2.14685039245318
12,AM2_Mt_Grenfell_NP_5,14692.4408279432,11862.9949880725,0.807421661723528,9934.47458037157,105574.265224448,18564.1053782695,87010.1598461788,0.0805687203791469,0.175839304576761,AM2_Mt_Grenfell_NP_5,192541.024043322,4.84635968796903
13,AM2_Mt_Grenfell_NP_6,13407.4848876846,10635.7286992867,0.793267998314591,9796.63035287105,78373.1811785949,13396.9624182199,64976.218760375,0.0551363900174115,0.170938096639094,AM2_Mt_Grenfell_NP_6,141588.040003061,3.6136913300595
14,AM2_Mt_Grenfell_NP_7,4942.45509505708,4322.53083198442,0.874571594248243,10523.4561981162,74115.2878034839,9292.7935382785,64822.4942652054,0.217317487266553,0.125382951529761,AM2_Mt_Grenfell_NP_7,92207.9639840126,2.1905771502153
